"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","7(c). Invoice with vendor name detected","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","11 folder total rows","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","13. Verify Approve, Reject, Reanalyze, Delete and move buttons on the listing page","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","9.verify the tabs  - Pending review, Approved, Rejected, Needs Attention, Completed, Duplicate and Failure","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","7(g).Multipage invoice with different invoice number","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","24581","1.Navigate to folders Homepage","chromium","Fri Dec 27 23:49:36 IST 2024","failed","Fri Dec 27 23:50:00 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","8.Verify Single and multiple selection of invoices from the table","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","12. Verification of invoice import success and analyze","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","7(b).  Invoice with multiple line items","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","7(a). . invoice with single line item","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","12. Verification of invoice import success and analyze","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","7(a). . invoice with single line item","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","6. Click and open the folder","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","13. Verify Approve, Reject, Reanalyze, Delete and move buttons on the listing page","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","10.Verify the Search bar - by File name, invoice number, Vendor name","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","7(d). Invoice with vendor name not detected","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","7(d). Invoice with vendor name not detected","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","8.Verify Single and multiple selection of invoices from the table","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
